"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial 1","R-HSA-211859","Biological oxidations","9/48","222/10891",4.34301394661353e-07,7.60027440657368e-05,6.49166295178023e-05,"9060/1577/8460/348158/123876/1555/4143/1562/1551",9
"2","Epithelial 1","R-HSA-211981","Xenobiotics","4/48","25/10891",3.9250983993709e-06,0.000343446109944954,0.000293349459321404,"1577/1555/1562/1551",4
"3","Epithelial 1","R-HSA-425407","SLC-mediated transmembrane transport","7/48","250/10891",0.000101783840631926,0.00389639093981866,0.00332804519370977,"6505/1356/55089/6542/23516/6574/6533",7
"4","Epithelial 1","R-HSA-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","5/48","108/10891",0.000106568839367149,0.00389639093981866,0.00332804519370977,"6505/55089/6542/6574/6533",5
"5","Epithelial 1","R-HSA-156580","Phase II - Conjugation of compounds","5/48","109/10891",0.00011132545542339,0.00389639093981866,0.00332804519370977,"9060/8460/348158/123876/4143",5
"6","Epithelial 1","R-HSA-1989781","PPARA activates gene expression","5/48","117/10891",0.000155510700091112,0.00421006529793594,0.00359596554771069,"19/50486/5244/10891/2180",5
"7","Epithelial 1","R-HSA-400206","Regulation of lipid metabolism by PPARalpha","5/48","119/10891",0.000168402611917437,0.00421006529793594,0.00359596554771069,"19/50486/5244/10891/2180",5
"8","Epithelial 1","R-HSA-211897","Cytochrome P450 - arranged by substrate type","4/48","66/10891",0.000195888275108549,0.00428505601799951,0.00366001777176499,"1577/1555/1562/1551",4
"9","Epithelial 1","R-HSA-352230","Amino acid transport across the plasma membrane","3/48","33/10891",0.000399501749634198,0.00776808957622053,0.0066349998184861,"55089/6542/6533",3
"10","Epithelial 1","R-HSA-70635","Urea cycle","2/48","10/10891",0.000836887592428852,0.0146455328675049,0.0125092671710418,"445/435",2
"11","Epithelial 1","R-HSA-71291","Metabolism of amino acids and derivatives","7/48","374/10891",0.00116270369110379,0.0171266319521943,0.0146284615772125,"9060/445/3034/435/6611/169355/4143",7
"12","Epithelial 1","R-HSA-211945","Phase I - Functionalization of compounds","4/48","106/10891",0.00118695485765916,0.0171266319521943,0.0146284615772125,"1577/1555/1562/1551",4
"13","Epithelial 1","R-HSA-8957275","Post-translational protein phosphorylation","4/48","108/10891",0.00127226408787729,0.0171266319521943,0.0146284615772125,"1356/2153/718/8542",4
"14","Epithelial 1","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","4/48","125/10891",0.00217841120537698,0.0272301400672122,0.0232582248995136,"1356/2153/718/8542",4
"15","Epithelial 3","R-HSA-156902","Peptide chain elongation","24/79","89/10891",2.18853224051564e-32,6.0294063226206e-30,3.69746762739748e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"16","Epithelial 3","R-HSA-192823","Viral mRNA Translation","24/79","89/10891",2.18853224051564e-32,6.0294063226206e-30,3.69746762739748e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"17","Epithelial 3","R-HSA-156842","Eukaryotic Translation Elongation","24/79","93/10891",7.24809959073041e-32,7.98740574898491e-30,4.89818940763044e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"18","Epithelial 3","R-HSA-2408557","Selenocysteine synthesis","24/79","93/10891",7.24809959073041e-32,7.98740574898491e-30,4.89818940763044e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"19","Epithelial 3","R-HSA-72764","Eukaryotic Translation Termination","24/79","93/10891",7.24809959073041e-32,7.98740574898491e-30,4.89818940763044e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"20","Epithelial 3","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","24/79","95/10891",1.28962909356679e-31,1.18430938425884e-29,7.26264805324455e-30,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"21","Epithelial 3","R-HSA-72689","Formation of a pool of free 40S subunits","24/79","101/10891",6.69376466320315e-31,4.61033041178117e-29,2.82723481169501e-29,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"22","Epithelial 3","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","24/79","101/10891",6.69376466320315e-31,4.61033041178117e-29,2.82723481169501e-29,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"23","Epithelial 3","R-HSA-2408522","Selenoamino acid metabolism","25/79","118/10891",7.87366846689938e-31,4.82043480584617e-29,2.95607903844994e-29,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/4837/6191/6218/6194/6144/6133/6130/6154",25
"24","Epithelial 3","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","24/79","111/10891",8.21086255203568e-30,4.52418526617166e-28,2.77440724126679e-28,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"25","Epithelial 3","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","24/79","112/10891",1.03990559377038e-29,4.77489985139567e-28,2.92815522456397e-28,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"26","Epithelial 3","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","24/79","112/10891",1.03990559377038e-29,4.77489985139567e-28,2.92815522456397e-28,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"27","Epithelial 3","R-HSA-927802","Nonsense-Mediated Decay (NMD)","24/79","115/10891",2.08261719579013e-29,8.19658624914543e-28,5.02646706653106e-28,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"28","Epithelial 3","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","24/79","115/10891",2.08261719579013e-29,8.19658624914543e-28,5.02646706653106e-28,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"29","Epithelial 3","R-HSA-72613","Eukaryotic Translation Initiation","24/79","119/10891",5.09372344532035e-29,1.7541510114822e-27,1.07571396443936e-27,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"30","Epithelial 3","R-HSA-72737","Cap-dependent Translation Initiation","24/79","119/10891",5.09372344532035e-29,1.7541510114822e-27,1.07571396443936e-27,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"31","Epithelial 3","R-HSA-168273","Influenza Viral RNA Transcription and Replication","24/79","135/10891",1.33163069392565e-27,4.31605007266489e-26,2.64677060526398e-26,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"32","Epithelial 3","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","25/79","171/10891",1.58916195273835e-26,4.86460131088238e-25,2.98316366566672e-25,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/7316/6133/6130/6154",25
"33","Epithelial 3","R-HSA-168255","Influenza Infection","24/79","156/10891",5.25752996341577e-26,1.44844950492104e-24,8.88245851713927e-25,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"34","Epithelial 3","R-HSA-9711097","Cellular response to starvation","24/79","156/10891",5.25752996341577e-26,1.44844950492104e-24,8.88245851713927e-25,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"35","Epithelial 3","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","24/79","184/10891",3.23997752599831e-24,8.50108388964319e-23,5.21319692153112e-23,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"36","Epithelial 3","R-HSA-376176","Signaling by ROBO receptors","25/79","218/10891",8.28538854493214e-24,2.07511322193528e-22,1.27254053728384e-22,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/7316/6133/6130/6154",25
"37","Epithelial 3","R-HSA-8868773","rRNA processing in the nucleus and cytosol","24/79","194/10891",1.19501367198271e-23,2.86283710114119e-22,1.7556036096405e-22,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"38","Epithelial 3","R-HSA-72312","rRNA processing","24/79","204/10891",4.0992866961103e-23,9.41127903981989e-22,5.77136416426055e-22,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"39","Epithelial 3","R-HSA-72766","Translation","24/79","291/10891",2.06869072250781e-19,4.55939435240721e-18,2.79599882915792e-18,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/6191/6218/6194/6144/6133/6130/6154",24
"40","Epithelial 3","R-HSA-71291","Metabolism of amino acids and derivatives","26/79","374/10891",3.55426990983985e-19,7.53231815508368e-18,4.61911190711981e-18,"6137/6206/6134/6176/6187/6193/6142/6141/6228/6136/6222/6227/6135/6233/6223/6132/6159/4837/6191/6218/6194/6144/1081/6133/6130/6154",26
"41","Epithelial 3","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","11/79","50/10891",4.23217910806419e-14,8.6367803279384e-13,5.29641128143705e-13,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194",11
"42","Epithelial 3","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","11/79","51/10891",5.36506076639062e-14,1.05576731510044e-12,6.47437784214808e-13,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194",11
"43","Epithelial 3","R-HSA-72649","Translation initiation complex formation","11/79","58/10891",2.46364788563576e-13,4.52489994995101e-12,2.77484551329501e-12,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194",11
"44","Epithelial 3","R-HSA-72702","Ribosomal scanning and start codon recognition","11/79","58/10891",2.46364788563576e-13,4.52489994995101e-12,2.77484551329501e-12,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194",11
"45","Epithelial 3","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","11/79","59/10891",3.0108489783426e-13,5.35154124860249e-12,3.28177426841417e-12,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194",11
"46","Epithelial 3","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","9/79","42/10891",1.27950920768429e-11,2.20315491698138e-10,1.35106070942979e-10,"2495/2512/3263/259/7184/213/335/348/6288",9
"47","Epithelial 3","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","9/79","74/10891",2.63323339326338e-09,4.39670181723673e-08,2.69622940745628e-08,"6233/2/344/5046/7316/341/213/335/348",9
"48","Epithelial 3","R-HSA-9705683","SARS-CoV-2-host interactions","12/79","202/10891",2.06098192494832e-08,3.34000306072508e-07,2.04822042696103e-07,"6206/6187/6193/6228/6222/6227/6233/6223/6191/6218/6194/7316",12
"49","Epithelial 3","R-HSA-8957275","Post-translational protein phosphorylation","9/79","108/10891",7.64672884227341e-08,1.20381359774076e-06,7.38225551389403e-07,"2243/3698/7184/462/213/335/7018/348/5265",9
"50","Epithelial 3","R-HSA-3000480","Scavenging by Class A Receptors","5/79","19/10891",1.89727844585856e-07,2.82540655045423e-06,1.73264973291777e-06,"2495/2512/7184/335/348",5
"51","Epithelial 3","R-HSA-8963898","Plasma lipoprotein assembly","5/79","19/10891",1.89727844585856e-07,2.82540655045423e-06,1.73264973291777e-06,"2/344/341/335/348",5
